case,t,n_samples,n_violations,violation_probability
0.10 (RT OFF),8,200,5,0.025
0.10 (RT OFF),9,200,2,0.01
0.10 (RT OFF),10,200,4,0.02
0.10 (RT OFF),11,200,4,0.02
0.10 (RT OFF),12,200,17,0.085
0.10 (RT OFF),13,200,16,0.08
0.10 (RT OFF),14,200,3,0.015
0.10 (RT OFF),15,200,11,0.055
0.10 (RT OFF),16,200,2,0.01
0.10 (RT OFF),17,200,5,0.025
0.10 (RT OFF),18,200,2,0.01
0.10 (RT OFF),19,200,4,0.02
0.10 (RT OFF),20,200,9,0.045
0.10 (RT OFF),21,200,6,0.03
0.10 (RT OFF),22,200,4,0.02
0.10 (RT OFF),23,200,7,0.035
0.10 (RT OFF),24,200,15,0.075
0.10 (RT OFF),25,200,14,0.07
0.10 (RT OFF),26,200,14,0.07
0.10 (RT OFF),27,200,6,0.03
0.10 (RT OFF),28,200,12,0.06
0.10 (RT OFF),29,200,12,0.06
0.10 (RT OFF),30,200,1,0.005
0.10 (RT OFF),31,200,6,0.03
0.10 (RT OFF),32,200,1,0.005
0.10 (RT OFF),33,200,0,0.0
0.10 (RT OFF),34,200,0,0.0
0.10 (RT OFF),35,200,0,0.0
0.10 (RT OFF),36,200,0,0.0
0.10 (RT OFF),37,200,2,0.01
0.10 (RT OFF),38,200,1,0.005
0.10 (RT OFF),39,200,0,0.0
0.10 (RT OFF),40,200,9,0.045
0.10 (RT OFF),41,200,0,0.0
0.10 (RT OFF),42,200,0,0.0
0.10 (RT OFF),43,200,0,0.0
0.10 (RT OFF),44,200,1,0.005
0.10 (RT OFF),45,200,3,0.015
0.10 (RT OFF),46,200,0,0.0
0.10 (RT OFF),47,200,2,0.01
0.10 (RT OFF),48,200,5,0.025
0.10 (RT OFF),49,200,0,0.0
0.10 (RT OFF),50,200,0,0.0
0.10 (RT OFF),51,200,0,0.0
0.10 (RT OFF),52,200,0,0.0
0.10 (RT OFF),53,200,1,0.005
0.10 (RT OFF),54,200,0,0.0
0.10 (RT OFF),55,200,2,0.01
0.10 (RT OFF),56,200,4,0.02
0.10 (RT OFF),57,200,5,0.025
0.10 (RT OFF),58,200,1,0.005
0.10 (RT OFF),59,200,7,0.035
0.10 (RT OFF),60,200,6,0.03
0.10 (RT OFF),61,200,3,0.015
0.10 (RT OFF),62,200,30,0.15
0.10 (RT OFF),63,200,23,0.115
0.10 (RT OFF),64,200,7,0.035
0.10 (RT OFF),65,200,3,0.015
0.10 (RT OFF),66,200,15,0.075
0.10 (RT OFF),67,200,7,0.035
0.10 (RT OFF),68,200,4,0.02
0.10 (RT OFF),69,200,6,0.03
0.10 (RT OFF),70,200,0,0.0
0.10 (RT OFF),71,200,2,0.01
0.10 (RT OFF),72,200,2,0.01
0.10 (RT OFF),73,200,12,0.06
0.10 (RT OFF),74,200,33,0.165
0.10 (RT OFF),75,200,28,0.14
0.10 (RT OFF),76,200,27,0.135
0.10 (RT OFF),77,200,36,0.18
0.10 (RT OFF),78,200,38,0.19
0.10 (RT OFF),79,200,35,0.175
0.10 (RT OFF),80,200,35,0.175
0.10 (RT OFF),81,200,31,0.155
0.10 (RT OFF),82,200,6,0.03
0.10 (RT OFF),83,200,9,0.045
0.10 (RT OFF),84,200,12,0.06
0.10 (RT OFF),85,200,22,0.11
0.10 (RT OFF),86,200,8,0.04
0.10 (RT OFF),87,200,4,0.02
0.10 (RT OFF),88,200,6,0.03
0.10 (RT OFF),89,200,3,0.015
0.10 (RT OFF),90,200,0,0.0
0.10 (RT OFF),91,200,10,0.05
0.10 (RT OFF),92,200,13,0.065
0.10 (RT OFF),93,200,17,0.085
0.10 (RT OFF),94,200,13,0.065
0.10 (RT OFF),95,200,12,0.06
0.05 (RT ON),0,200,0,0.0
0.05 (RT ON),1,200,0,0.0
0.05 (RT ON),2,200,0,0.0
0.05 (RT ON),3,200,0,0.0
0.05 (RT ON),4,200,0,0.0
0.05 (RT ON),5,200,0,0.0
0.05 (RT ON),6,200,0,0.0
0.05 (RT ON),7,200,0,0.0
0.05 (RT ON),8,200,0,0.0
0.05 (RT ON),9,200,0,0.0
0.05 (RT ON),10,200,0,0.0
0.05 (RT ON),11,200,0,0.0
0.05 (RT ON),12,200,0,0.0
0.05 (RT ON),13,200,0,0.0
0.05 (RT ON),14,200,0,0.0
0.05 (RT ON),15,200,0,0.0
0.05 (RT ON),16,200,1,0.005
0.05 (RT ON),17,200,0,0.0
0.05 (RT ON),18,200,0,0.0
0.05 (RT ON),19,200,0,0.0
0.05 (RT ON),20,200,1,0.005
0.05 (RT ON),21,200,1,0.005
0.05 (RT ON),22,200,0,0.0
0.05 (RT ON),23,200,0,0.0
0.05 (RT ON),24,200,1,0.005
0.05 (RT ON),25,200,1,0.005
0.05 (RT ON),26,200,1,0.005
0.05 (RT ON),27,200,0,0.0
0.05 (RT ON),28,200,1,0.005
0.05 (RT ON),29,200,0,0.0
0.05 (RT ON),30,200,0,0.0
0.05 (RT ON),31,200,0,0.0
0.05 (RT ON),32,200,0,0.0
0.05 (RT ON),33,200,0,0.0
0.05 (RT ON),34,200,0,0.0
0.05 (RT ON),35,200,0,0.0
0.05 (RT ON),36,200,0,0.0
0.05 (RT ON),37,200,1,0.005
0.05 (RT ON),38,200,0,0.0
0.05 (RT ON),39,200,0,0.0
0.05 (RT ON),40,200,0,0.0
0.05 (RT ON),41,200,0,0.0
0.05 (RT ON),42,200,0,0.0
0.05 (RT ON),43,200,0,0.0
0.05 (RT ON),44,200,0,0.0
0.05 (RT ON),45,200,0,0.0
0.05 (RT ON),46,200,0,0.0
0.05 (RT ON),47,200,0,0.0
0.05 (RT ON),48,200,0,0.0
0.05 (RT ON),49,200,0,0.0
0.05 (RT ON),50,200,0,0.0
0.05 (RT ON),51,200,0,0.0
0.05 (RT ON),52,200,0,0.0
0.05 (RT ON),53,200,1,0.005
0.05 (RT ON),54,200,0,0.0
0.05 (RT ON),55,200,0,0.0
0.05 (RT ON),56,200,1,0.005
0.05 (RT ON),57,200,2,0.01
0.05 (RT ON),58,200,0,0.0
0.05 (RT ON),59,200,0,0.0
0.05 (RT ON),60,200,0,0.0
0.05 (RT ON),61,200,0,0.0
0.05 (RT ON),62,200,2,0.01
0.05 (RT ON),63,200,1,0.005
0.05 (RT ON),64,200,0,0.0
0.05 (RT ON),65,200,0,0.0
0.05 (RT ON),66,200,0,0.0
0.05 (RT ON),67,200,0,0.0
0.05 (RT ON),68,200,0,0.0
0.05 (RT ON),69,200,0,0.0
0.05 (RT ON),70,200,0,0.0
0.05 (RT ON),71,200,0,0.0
0.05 (RT ON),72,200,0,0.0
0.05 (RT ON),73,200,0,0.0
0.05 (RT ON),74,200,4,0.02
0.05 (RT ON),75,200,3,0.015
0.05 (RT ON),76,200,2,0.01
0.05 (RT ON),77,200,4,0.02
0.05 (RT ON),78,200,2,0.01
0.05 (RT ON),79,200,6,0.03
0.05 (RT ON),80,200,1,0.005
0.05 (RT ON),81,200,1,0.005
0.05 (RT ON),82,200,0,0.0
0.05 (RT ON),83,200,0,0.0
0.05 (RT ON),84,200,1,0.005
0.05 (RT ON),85,200,0,0.0
0.05 (RT ON),86,200,1,0.005
0.05 (RT ON),87,200,0,0.0
0.05 (RT ON),88,200,0,0.0
0.05 (RT ON),89,200,0,0.0
0.05 (RT ON),90,200,0,0.0
0.05 (RT ON),91,200,1,0.005
0.05 (RT ON),92,200,0,0.0
0.05 (RT ON),93,200,0,0.0
0.05 (RT ON),94,200,1,0.005
0.05 (RT ON),95,200,0,0.0
