weekday,hour,minute,P_base_MW
2,18,0,0.08250319669054124
2,18,15,0.11214211042193675
2,18,30,0.11486192754894532
2,18,45,0.11456702002563662
2,19,0,0.07131393106537874
2,19,15,0.09681706411027537
2,19,30,0.08114926481926087
2,19,45,0.13380834445643222
2,20,0,0.1439176150821824
2,20,15,0.1538153474394087
2,20,30,0.07240551621566395
2,20,45,0.07791868185715617
2,21,0,0.08987959223227777
2,21,15,0.12375965486626933
2,21,30,0.07860458777352318
2,21,45,0.09704242470606207
2,22,0,0.09929458484858919
2,22,15,0.09646634252429988
2,22,30,0.08670123802094247
2,22,45,0.12067253541457075
2,23,0,0.11846863041562461
2,23,15,0.1430172571012439
2,23,30,0.16784688117243338
2,23,45,0.1275438844145958
3,0,0,0.05312269463605584
3,0,15,0.025709086512854862
3,0,30,0.010486537025394904
3,0,45,0.005400416288809518
3,1,0,0.04398503032168214
3,1,15,0.03188149486934294
3,1,30,0.03964636108981413
3,1,45,0.05547471115759362
3,2,0,0.08577726158482767
3,2,15,0.0860952573236875
3,2,30,0.07913399370321197
3,2,45,0.10400605818606654
3,3,0,0.11658293689180681
3,3,15,0.134641755370222
3,3,30,0.12153772808275519
3,3,45,0.1341488249001913
3,4,0,0.10964474651966763
3,4,15,0.12115400852357405
3,4,30,0.13179177698510258
3,4,45,0.13470803797114106
3,5,0,0.2075728400399264
3,5,15,0.17693211626837616
3,5,30,0.09556187621154462
3,5,45,0.13241313471611388
3,6,0,0.12601076721965543
3,6,15,0.16834103583197396
3,6,30,0.14117465184743214
3,6,45,0.08792555998840185
3,7,0,0.2064824475324257
3,7,15,0.14842953988436267
3,7,30,0.08451179924208987
3,7,45,0.1219038944053341
3,8,0,0.08579852994789408
3,8,15,0.05202944137166501
3,8,30,0.05969673465688991
3,8,45,0.055574532761365994
3,9,0,0.06045956799918162
3,9,15,0.08779912974485954
3,9,30,0.10543235752732327
3,9,45,0.08264976618325647
3,10,0,0.12134573003729016
3,10,15,0.09337741464272079
3,10,30,0.1091690377838928
3,10,45,0.10627047159943173
3,11,0,0.1372927278436382
3,11,15,0.1355948418168234
3,11,30,0.09438517279223867
3,11,45,0.11038271296779695
3,12,0,0.12589955277550932
3,12,15,0.10075659932899811
3,12,30,0.13198834111714441
3,12,45,0.11336546308765336
3,13,0,0.12257782306862519
3,13,15,0.17299033104104253
3,13,30,0.1741651692576898
3,13,45,0.150086105528692
3,14,0,0.19725754432873427
3,14,15,0.18846849063586985
3,14,30,0.1071281840760634
3,14,45,0.14671540128639565
3,15,0,0.09350295013821638
3,15,15,0.093857125489413
3,15,30,0.14978532236939066
3,15,45,0.1204908975520891
3,16,0,0.10748309670185913
3,16,15,0.12092133824561123
3,16,30,0.1323885479736199
3,16,45,0.11382306823650792
3,17,0,0.12857975574383396
3,17,15,0.10397845395816857
3,17,30,0.07279538694130429
3,17,45,0.0604685051357891
3,18,0,0.07320738221525155
3,18,15,0.10025761812075426
3,18,30,0.09217228747195866
3,18,45,0.0992801341585199
3,19,0,0.06971414899383194
3,19,15,0.09836731175250892
3,19,30,0.06686423336984647
3,19,45,0.1249396937349716
3,20,0,0.14178419354128155
3,20,15,0.14932997634253134
3,20,30,0.08214656616401357
3,20,45,0.07634149188874914
3,21,0,0.08746350707784649
3,21,15,0.11683915523095303
3,21,30,0.06961637727633072
3,21,45,0.09434005967705579
3,22,0,0.10018915094627596
3,22,15,0.10047851035973153
3,22,30,0.08209286534483794
3,22,45,0.11886929795828949
3,23,0,0.10916694718449205
3,23,15,0.13020569403353982
3,23,30,0.15037969514214033
3,23,45,0.13561840666120392
4,0,0,0.04388765731583459
4,0,15,0.028014249693951086
4,0,30,0.020976281634328547
4,0,45,0.028768842315150582
4,1,0,0.05227854365236568
4,1,15,0.05150562752928885
4,1,30,0.046432751182060285
4,1,45,0.06477737806377809
4,2,0,0.0872401976131785
4,2,15,0.07781148385697365
4,2,30,0.07438001246138207
4,2,45,0.09886626523765588
4,3,0,0.10435984321385439
4,3,15,0.11833655683627234
4,3,30,0.09378166310995718
4,3,45,0.09395082895747883
4,4,0,0.07567802154367895
4,4,15,0.0950245486556515
4,4,30,0.11548181789451291
4,4,45,0.12263551028797434
4,5,0,0.20912947773148552
4,5,15,0.17390786590821725
4,5,30,0.08476032936822363
4,5,45,0.12656749950300647
4,6,0,0.12390912069490463
4,6,15,0.17354242826512542
4,6,30,0.11778380195634733
4,6,45,0.08282726350825294
4,7,0,0.20045444901951667
4,7,15,0.1299899388778145
4,7,30,0.07373924500892318
4,7,45,0.1300295910851791
4,8,0,0.11274517491939315
4,8,15,0.0793799551279799
4,8,30,0.09371639655811306
4,8,45,0.07106261543839786
4,9,0,0.06103469494382071
4,9,15,0.08027152448124159
4,9,30,0.0934448833590936
4,9,45,0.07340524615946964
4,10,0,0.1012878744079834
4,10,15,0.0854314330253404
4,10,30,0.09422143643186046
4,10,45,0.09408846373806033
4,11,0,0.131618139047747
4,11,15,0.1334286047302636
4,11,30,0.07976088279516602
4,11,45,0.09239669398355438
4,12,0,0.10921442218320669
4,12,15,0.089818967958776
4,12,30,0.13459006919328442
4,12,45,0.11537889471451222
4,13,0,0.12486455886875775
4,13,15,0.17922238376443267
4,13,30,0.16751905765795097
4,13,45,0.14539987988208927
4,14,0,0.20351633139600733
4,14,15,0.20077930260076834
4,14,30,0.1132739507064793
4,14,45,0.1549760302244239
4,15,0,0.10229559083051741
4,15,15,0.09229731436726438
4,15,30,0.1542396273326759
4,15,45,0.12017844830279614
4,16,0,0.0957844212856059
4,16,15,0.11326760334635792
4,16,30,0.1205476937569024
4,16,45,0.09786272376550058
4,17,0,0.12310498494503522
4,17,15,0.10699742330010091
4,17,30,0.07374375628130139
4,17,45,0.057185102444229155
4,18,0,0.05475672417262678
4,18,15,0.07774705459178703
4,18,30,0.07318989960693931
4,18,45,0.07924694550561773
4,19,0,0.05725249366450783
4,19,15,0.08818749312960594
4,19,30,0.06863638130965292
4,19,45,0.12913283240046947
4,20,0,0.14521388234378113
4,20,15,0.14417484871490346
4,20,30,0.08782005399661928
4,20,45,0.07751771066547372
4,21,0,0.0878913426566417
4,21,15,0.10850114889949959
4,21,30,0.07101585396495144
4,21,45,0.08034883902612824
4,22,0,0.08745893984107711
4,22,15,0.09562302920953576
4,22,30,0.08457327183315456
4,22,45,0.12488227475184213
4,23,0,0.09959931623512566
4,23,15,0.11736633174492954
4,23,30,0.13181837035480062
4,23,45,0.11523639918052501
5,0,0,0.05039694338931433
5,0,15,0.0282106840333823
5,0,30,0.022137332199609776
5,0,45,0.0357642406406653
5,1,0,0.0669606954211071
5,1,15,0.07608817755669488
5,1,30,0.07131234185518302
5,1,45,0.07238756506466903
5,2,0,0.08574355488699367
5,2,15,0.06828510107329851
5,2,30,0.06098841750657835
5,2,45,0.09449861248641914
5,3,0,0.1050293652877626
5,3,15,0.11655055507931467
5,3,30,0.094533822086276
5,3,45,0.10587615330312432
5,4,0,0.09215148509093313
5,4,15,0.1012662093561663
5,4,30,0.1161722097344676
5,4,45,0.12104240057601004
5,5,0,0.1947760977819075
5,5,15,0.16119813305717207
5,5,30,0.08407715669115803
5,5,45,0.13264028200007325
5,6,0,0.1278575703801043
5,6,15,0.17614408392416567
5,6,30,0.14591266881578607
5,6,45,0.10364338325344084
5,7,0,0.21490268941476298
5,7,15,0.14789674247694068
5,7,30,0.07516315621523542
5,7,45,0.11387932084812732
5,8,0,0.08567692999130072
5,8,15,0.05888111701973449
5,8,30,0.06993678546542995
5,8,45,0.06658897600907146
5,9,0,0.06496797302584771
5,9,15,0.09635376008904853
5,9,30,0.10941606067506379
5,9,45,0.08856873232250997
5,10,0,0.12515297402733755
5,10,15,0.09841645042077123
5,10,30,0.10347743523779104
5,10,45,0.10111945838774417
5,11,0,0.12456256355568462
5,11,15,0.12102655047181346
5,11,30,0.07603449012975773
5,11,45,0.10595258017836054
5,12,0,0.13063877731695955
5,12,15,0.12223843936835632
5,12,30,0.15353388087268283
5,12,45,0.1209430492218924
5,13,0,0.11932644621627324
5,13,15,0.1650462251825741
5,13,30,0.158782203632379
5,13,45,0.1337732600447269
5,14,0,0.17414801953089049
5,14,15,0.17626874305622428
5,14,30,0.10618377570787581
5,14,45,0.1446082740304012
5,15,0,0.09584857381720938
5,15,15,0.08333294277146708
5,15,30,0.1499408005047545
5,15,45,0.12187083656700523
5,16,0,0.10214277055487656
5,16,15,0.11544576498141157
5,16,30,0.12268486035431785
5,16,45,0.11020078775639434
5,17,0,0.12651780156699383
5,17,15,0.11615713095410814
5,17,30,0.09108178809267489
5,17,45,0.0679961591023564
5,18,0,0.06223448139851652
5,18,15,0.07696255649992013
5,18,30,0.060352388769775556
5,18,45,0.06965851568830508
5,19,0,0.046687858004874516
5,19,15,0.08909830289317885
5,19,30,0.07979912745724231
5,19,45,0.1437941936720868
5,20,0,0.14601619185094777
5,20,15,0.15136047670416677
5,20,30,0.08221057652543717
5,20,45,0.07600840390047227
5,21,0,0.09298662991914476
5,21,15,0.11253112059564525
5,21,30,0.06899554639628089
5,21,45,0.08679718609148829
5,22,0,0.09561137196524058
5,22,15,0.0946326791433624
5,22,30,0.07411202398814538
5,22,45,0.12183378845888744
5,23,0,0.1108167337279637
5,23,15,0.13464380821558847
5,23,30,0.15603989522131545
5,23,45,0.12232659899611364
6,0,0,0.052512066218878134
6,0,15,0.012944977616119518
6,0,30,0.0062043887749823464
6,0,45,0.009271419863203392
6,1,0,0.03729471689012844
6,1,15,0.03509270746862654
6,1,30,0.05138113119484144
6,1,45,0.051704750005407724
6,2,0,0.07039730392537272
6,2,15,0.08004573620503205
6,2,30,0.09805222275802836
6,2,45,0.10687473632685252
6,3,0,0.09760384013487738
6,3,15,0.15803208188028603
6,3,30,0.15932896625000625
6,3,45,0.14028747364656208
6,4,0,0.156872440578829
6,4,15,0.10708420050315391
6,4,30,0.1199489619435809
6,4,45,0.11176824980098511
6,5,0,0.07322256395754667
6,5,15,0.10261969672818569
6,5,30,0.09759303325612594
6,5,45,0.07807256817543375
6,6,0,0.0722883341375288
6,6,15,0.2217290586515664
6,6,30,0.16638030368905088
6,6,45,0.1957271310651582
6,7,0,0.1304610840709852
6,7,15,0.08021442570510216
6,7,30,0.16072233296488714
6,7,45,0.05077148897650157
6,8,0,0.11188152463777175
6,8,15,0.05506247951061212
6,8,30,0.10267065831712817
6,8,45,0.1383823154302564
6,9,0,0.11553624334749807
6,9,15,0.1575122211382439
6,9,30,0.16295026869009901
6,9,45,0.12391689787030855
6,10,0,0.16020588834737326
6,10,15,0.0861855564470933
6,10,30,0.08514501387060619
6,10,45,0.15079780937514137
6,11,0,0.14575641941153236
6,11,15,0.1668856370016376
6,11,30,0.1288300117714966
6,11,45,0.15449868050126392
6,12,0,0.17300407319051803
6,12,15,0.1489070141588953
6,12,30,0.15338138329791254
6,12,45,0.16588115706865883
6,13,0,0.18706857494084508
6,13,15,0.16913176419871181
6,13,30,0.15636367087004543
6,13,45,0.11543142979212355
