t,sigma_base,D_plus,D_minus,z_dis,z_ch,frac_up,frac_dn,frac_sym,sigma_eff_est
42,0.0,0.08437667326072262,0.08437667326072262,5.953617773485647e-10,1.520237986419196e-09,7.055999654180558e-09,1.8017278089664474e-08,1.2536638871922516e-08,0.0
43,0.0,0.09518740351982778,0.09518740351982778,5.953614855969665e-10,1.520234504249968e-09,6.254624704338649e-09,1.5970963047997197e-08,1.1112793876167923e-08,0.0
44,0.0,0.08926448627044489,0.08926448627044489,4.0314594571478727e-10,6.855904424804282e-10,4.516308361349605e-09,7.680439009118282e-09,6.098373685233944e-09,0.0
45,0.0,0.09419076390237437,0.09419076390237437,4.0314568315532924e-10,6.855896627207964e-10,4.280097819072542e-09,7.278735560860167e-09,5.779416689966354e-09,0.0
46,0.0,0.10597334717874496,0.10597334717874496,4.0314535297856113e-10,6.855889370834002e-10,3.804214585187886e-09,6.469446849942554e-09,5.1368307175652206e-09,0.0
47,0.0,0.1160722731111277,0.1160722731111277,4.031449558573613e-10,6.855882697077557e-10,3.4732235791694196e-09,5.906563654968426e-09,4.6898936170689225e-09,0.0
48,0.0,0.10372019583799999,0.10372019583799999,3.2592855402721017e-10,4.887078547746046e-10,3.1423827480645737e-09,4.711790706005942e-09,3.927086727035258e-09,0.0
49,0.0,0.0762194103541226,0.0762194103541226,3.2592821120593423e-10,4.88707611169226e-10,4.276183844661627e-09,6.411852425761944e-09,5.3440181352117855e-09,0.0
50,0.0,0.06657616723641793,0.06657616723641793,3.2592782133306e-10,4.887074077582772e-10,4.895563004936303e-09,7.340575885404057e-09,6.1180694451701805e-09,0.0
51,0.0,0.07531451546169977,0.07531451546169977,3.259273827808516e-10,4.887072462599877e-10,4.327550682399301e-09,6.488885220386413e-09,5.408217951392857e-09,0.0
52,0.0,0.0684773122673111,0.0684773122673111,3.5978453864477017e-10,5.689881324963838e-10,5.254069219894308e-09,8.309148149320701e-09,6.781608684607505e-09,0.0
53,0.0,0.06075430619593524,0.06075430619593524,3.59783863463009e-10,5.689880190135797e-10,5.921948352149568e-09,9.365394070645279e-09,7.643671211397424e-09,0.0
54,0.0,0.057731585868095806,0.057731585868095806,3.5978311520595194e-10,5.689879820641066e-10,6.231997784158893e-09,9.855748348297951e-09,8.043873066228423e-09,0.0
55,0.0,0.05614543247332526,0.05614543247332526,3.597822867553293e-10,5.689880406757061e-10,6.408041952945364e-09,1.0134182169600934e-08,8.271112061273148e-09,0.0
56,0.0,0.05453300356928288,0.05453300356928288,4.6306308717328496e-10,8.790236373662745e-10,8.491428251975418e-09,1.6119112827693342e-08,1.230527053983438e-08,0.0
57,0.0,0.0481362439860918,0.0481362439860918,4.6308222534257923e-10,8.790616292561315e-10,9.620240114213719e-09,1.826194892792471e-08,1.3941094521069214e-08,0.0
58,0.0,0.039966817913665686,0.039966817913665686,4.630855673521802e-10,8.790694094658411e-10,1.1586750998103336e-08,2.1994981220790774e-08,1.6790866109447054e-08,0.0
59,0.0,0.039934251418143524,0.039934251418143524,4.6308362765684905e-10,8.790695799865568e-10,1.1596151454248972e-08,2.2012922460521316e-08,1.6804536957385142e-08,0.0
60,0.0,0.03989727675442778,0.03989727675442778,8.099955999987995e-10,4.707316593260498e-09,2.030202725324872e-08,1.1798591222740742e-07,6.914396974032807e-08,0.0
