t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
73,0.1,2023-01-10 18:15:00,,0.0,0.0007384792306475,0.0019093130518784,0.0020471511678845,-1.0,0.9448871984921272,0.0,0.0,
74,0.1,2023-01-10 18:30:00,,0.0,0.0006393116951591,0.0019026165102646,0.0020071544605981,-1.0,0.9521201554494724,0.0,0.0,
75,0.1,2023-01-10 18:45:00,,0.0,1.038646590135301e-06,0.0019015832446578,0.0019015835283127,-1.0,0.9999221705787098,0.0,0.0,
76,0.1,2023-01-10 19:00:00,,0.0,0.0005436632631046,0.0019047541960281,0.0019808226298527,-1.0,0.959329230249482,0.0,0.0,
77,0.1,2023-01-10 19:15:00,,0.0,0.0006776530820389,0.0019168548850766,0.0020331124784524,-1.0,0.949625641858484,0.0,0.0,
78,0.1,2023-01-10 19:30:00,,0.0,0.0005697670850309,0.0019328433852078,0.0020150727239795,-1.0,0.9579958660226784,0.0,0.0,
79,0.1,2023-01-10 19:45:00,,0.0,2.085617850039257e-06,0.0019444482672757,0.0019444493857937,-1.0,0.9998471625843008,0.0,0.0,
80,0.1,2023-01-10 20:00:00,,0.0,0.0004842287111023,0.0019393401826028,0.0019988791330428,-1.0,0.9644214795447026,0.0,0.0,
81,0.1,2023-01-10 20:15:00,,0.0,0.000530876985892,0.0019410205466205,0.0020123099007242,-1.0,0.9610277832228896,0.0,0.0,
82,0.1,2023-01-10 20:30:00,,0.0,0.0004662059438076,0.0019497564407438,0.0020047189728896,-1.0,0.9659286935961282,0.0,0.0,
83,0.1,2023-01-10 20:45:00,,0.0,0.0004552040441586,0.001957142431861,0.0020093822982223,-1.0,0.9668582816174196,0.0,0.0,
84,0.1,2023-01-10 21:00:00,,0.0,0.0004912230851537,0.0019479649172009,0.0020089468479861,-1.0,0.9640673720237292,0.0,0.0,
85,0.1,2023-01-10 21:15:00,,0.0,0.0005260671730893,0.0019267087405537,0.0019972364010122,-1.0,0.9610940093182254,0.0,0.0,
86,0.1,2023-01-10 21:30:00,,0.0,0.0005655212402852,0.0019155396219337,0.0019972747223183,-1.0,0.9579322654163508,0.0,0.0,
87,0.1,2023-01-10 21:45:00,,0.0,0.0006158269559419,0.0019117335459483,0.0020084740452316,-1.0,0.954098943946009,0.0,0.0,
88,0.1,2023-01-10 22:00:00,,0.0,0.0007555436290927,0.0019142476130742,0.0020579577497177,-1.0,0.9437590332644052,0.0,0.0,
89,0.1,2023-01-10 22:15:00,,0.0,0.0007504888219176,0.001920939718318,0.0020623391751201,-1.0,0.9443299212889182,0.0,0.0,
90,0.1,2023-01-10 22:30:00,,0.0,0.0007469723743841,0.0019267087405537,0.0020664400061505,-1.0,0.944756674196824,0.0,0.0,
91,0.1,2023-01-10 22:45:00,,0.0,0.0007330348744428,0.0019297305731426,0.0020642674759029,-1.0,0.9458723337054002,0.0,0.0,
92,0.1,2023-01-10 23:00:00,,0.0,0.0007338733330653,0.0019282082573779,0.0020631425430166,-1.0,0.9457676389547518,0.0,0.0,
93,0.1,2023-01-10 23:15:00,,0.0,0.0007306767814565,0.0019312756339343,0.0020648762997303,-1.0,0.946089620445745,0.0,0.0,
94,0.1,2023-01-10 23:30:00,,0.0,0.0007241931363432,0.0019376822271774,0.0020685908518231,-1.0,0.9467446562650816,0.0,0.0,
95,0.1,2023-01-10 23:45:00,,0.0,0.0007114454280302,0.0019427232610833,0.0020688954217696,-1.0,0.9478178467142496,0.0,0.0,
