timestamp,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,lambda0_mw,lambda_plus,lambda_minus,chi0_mw,chi_minus
2023-01-10 04:45:00,-1.0,-1.0,0.0,0.0,-2.750016085634978e-10,0.0,0.0,0.0,0.0
2023-01-10 05:00:00,-1.0,-1.0,0.0,0.0,-2.7291074951087717e-10,0.0,0.0,0.0,0.0
2023-01-10 05:15:00,-1.0,-1.0,0.0,0.0,-2.7081537263322604e-10,0.0,0.0,0.0,0.0
2023-01-10 05:30:00,-1.0,-1.0,0.0,0.0,-2.687073155793926e-10,0.0,0.0,0.0,0.0
2023-01-10 05:45:00,-1.0,-1.0,0.0,0.0,-2.6658182384560606e-10,0.0,0.0,0.0,0.0
2023-01-10 06:00:00,-1.0,-1.0,0.0,0.0,-2.6443458087605186e-10,0.0,0.0,0.0,0.0
2023-01-10 06:15:00,-1.0,-1.0,0.0,0.0,-2.6226164047933064e-10,0.0,0.0,0.0,0.0
2023-01-10 06:30:00,-1.0,-1.0,0.0,0.0,-2.6005938868783466e-10,0.0,0.0,0.0,0.0
2023-01-10 06:45:00,-1.0,-1.0,0.0,0.0,-2.5782452246932243e-10,0.0,0.0,0.0,0.0
2023-01-10 07:00:00,-1.0,-1.0,0.0,0.0,-2.555537111499554e-10,0.0,0.0,0.0,0.0
2023-01-10 07:15:00,-1.0,-1.0,0.0,0.0,-2.5324397445981986e-10,0.0,0.0,0.0,0.0
2023-01-10 07:30:00,-1.0,-1.0,0.0,0.0,-2.5089431291449077e-10,0.0,0.0,0.0,0.0
2023-01-10 07:45:00,-1.0,-1.0,0.0,0.0,-2.485030356701338e-10,0.0,0.0,0.0,0.0
2023-01-10 08:00:00,-1.0,-1.0,0.0,0.0,-2.4606867400301177e-10,0.0,0.0,0.0,0.0
2023-01-10 08:15:00,-1.0,-1.0,0.0,0.0,-2.4358997956719005e-10,0.0,0.0,0.0,0.0
2023-01-10 08:30:00,-1.0,-1.0,0.0,0.0,-2.41065921565447e-10,0.0,0.0,0.0,0.0
2023-01-10 08:45:00,-1.0,-1.0,0.0,0.0,-2.3849568297648344e-10,0.0,0.0,0.0,0.0
2023-01-10 09:00:00,-1.0,-1.0,0.0,0.0,-2.358786560223958e-10,0.0,0.0,0.0,0.0
2023-01-10 09:15:00,-1.0,-1.0,0.0,0.0,-2.3321443706927365e-10,0.0,0.0,0.0,0.0
2023-01-10 09:30:00,-1.0,-1.0,0.0,0.0,-2.3050282111709142e-10,0.0,0.0,0.0,0.0
2023-01-10 09:45:00,-1.0,-1.0,0.0,0.0,-2.2774379600033837e-10,0.0,0.0,0.0,0.0
2023-01-10 10:00:00,-1.0,-1.0,0.0,0.0,-2.2493753636137934e-10,0.0,0.0,0.0,0.0
2023-01-10 10:15:00,-1.0,-1.0,0.0,0.0,-2.2208439127101519e-10,0.0,0.0,0.0,0.0
2023-01-10 10:30:00,-1.0,-1.0,0.0,0.0,-2.191848820651076e-10,0.0,0.0,0.0,0.0
2023-01-10 10:45:00,-1.0,-1.0,0.0,0.0,-2.1623793339933114e-10,0.0,0.0,0.0,0.0
2023-01-10 11:00:00,-1.0,-1.0,0.0,0.0,-2.1324436995819823e-10,0.0,0.0,0.0,0.0
2023-01-10 11:15:00,-1.0,-1.0,0.0,0.0,-2.1020536166176268e-10,0.0,0.0,0.0,0.0
2023-01-10 11:30:00,-1.0,-1.0,0.0,0.0,-2.0712222724466157e-10,0.0,0.0,0.0,0.0
2023-01-10 11:45:00,-1.0,-1.0,0.0,0.0,-2.0399642139651403e-10,0.0,0.0,0.0,0.0
