t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
67,0.1,2023-01-10 16:45:00,,0.0,0.0124463703702198,0.0018806874592487,0.0125876574751643,-1.0,0.0569875309686117,0.0,0.0,
68,0.1,2023-01-10 17:00:00,,0.0,0.0121230496457711,0.0018806874592487,0.0122680608913229,-1.0,0.0814842690201241,0.0,0.0,
69,0.1,2023-01-10 17:15:00,,0.0,0.0123982919100358,0.0018885027966845,0.0125412951922656,-1.0,0.0645177131919161,0.0,0.0,
70,0.1,2023-01-10 17:30:00,,0.0,0.0130144380950589,0.0019016799006385,0.0131526417640949,-1.0,0.0248322072518761,0.0,0.0,
71,0.1,2023-01-10 17:45:00,,0.0,0.0127507911917899,0.0019122892131562,0.0128933907895239,-1.0,0.0498877838843198,0.0,0.0,
72,0.1,2023-01-10 18:00:00,,0.0,0.0133559951936428,0.001903126241942,0.0134909042360168,-1.0,5.229489928556293e-11,0.0,0.0,
73,0.1,2023-01-10 18:15:00,,0.0,0.0132533689654511,0.0018885027966845,0.0133872413792935,-1.0,1.8747202609917502e-10,0.0,0.0,
74,0.1,2023-01-10 18:30:00,,0.0,0.0067294875701027,0.0018817321988379,0.0069876261365582,-1.0,0.4904163061362036,0.0,0.0,
75,0.1,2023-01-10 18:45:00,,0.0,0.0014635322941008,0.0018806874592487,0.0023830468092866,-1.0,0.8891139214795157,0.0,0.0,
76,0.1,2023-01-10 19:00:00,,0.0,0.0014541323008306,0.0018838935825303,0.0023798226359579,-1.0,0.8900136224771624,0.0,0.0,
77,0.1,2023-01-10 19:15:00,,0.0,0.0014504583691623,0.0018961274043307,0.0023872847785983,-1.0,0.8909993477234927,0.0,0.0,
78,0.1,2023-01-10 19:30:00,,0.0,0.0061325727080555,0.0019122892131562,0.0064238071308485,-1.0,0.5430375920599478,0.0,0.0,
79,0.1,2023-01-10 19:45:00,,0.0,0.0014622039408681,0.0019240180734919,0.00241658558959,-1.0,0.8917095530104118,0.0,0.0,
80,0.1,2023-01-10 20:00:00,,0.0,0.0014205806248109,0.0019188556034444,0.00238747903414,-1.0,0.8945091149559151,0.0,0.0,
81,0.1,2023-01-10 20:15:00,,0.0,0.0033535700620097,0.0019205538902657,0.0038645775197585,-1.0,0.7511874800839737,0.0,0.0,
82,0.1,2023-01-10 20:30:00,,0.0,0.013540259298771,0.0019293824559257,0.0136770295948787,-1.0,5.898570428597783e-10,0.0,0.0,
83,0.1,2023-01-10 20:45:00,,0.0,0.0121877883128602,0.0019368461429867,0.012340727569341,-1.0,0.1033537779382359,0.0,0.0,
84,0.1,2023-01-10 21:00:00,,0.0,0.0123092514611335,0.0019275719964913,0.0124592618294615,-1.0,0.0900607908453111,0.0,0.0,
85,0.1,2023-01-10 21:15:00,,0.0,0.0111602492431001,0.0019060884171355,0.011321852155105,-1.0,0.1657000929266769,0.0,0.0,
86,0.1,2023-01-10 21:30:00,,0.0,0.0126272574042283,0.001894797753379,0.0127686290602731,-1.0,0.0504069747884288,0.0,0.0,
87,0.1,2023-01-10 21:45:00,,0.0,0.0129528541092521,0.0018909499289289,0.01309015359762,-1.0,0.0239393860872718,0.0,0.0,
88,0.1,2023-01-10 22:00:00,,0.0,0.0131018159229435,0.0018934915915241,0.0132379337846157,-1.0,0.0140396367631059,0.0,0.0,
89,0.1,2023-01-10 22:15:00,,0.0,0.0131729157874935,0.0019002567943369,0.0133092706873375,-1.0,0.0122183249374973,0.0,0.0,
90,0.1,2023-01-10 22:30:00,,0.0,0.0133706711270201,0.0019060884171355,0.0135058513038189,-1.0,0.0004569400027034,0.0,0.0,
91,0.1,2023-01-10 22:45:00,,0.0,0.0122370438116536,0.0019091428882965,0.0123850743968804,-1.0,0.0866664218964616,0.0,0.0,
92,0.1,2023-01-10 23:00:00,,0.0,0.0124980205275103,0.0019076041431157,0.0126427635694456,-1.0,0.0664355182601716,0.0,0.0,
93,0.1,2023-01-10 23:15:00,,0.0,0.0117045484860589,0.0019107045970636,0.0118594792178976,-1.0,0.1271241858046266,0.0,0.0,
94,0.1,2023-01-10 23:30:00,,0.0,0.0115495933737538,0.0019171799332695,0.0117076336633663,-1.0,0.1415892193354352,0.0,0.0,
95,0.1,2023-01-10 23:45:00,,0.0,0.0114672000834398,0.0019222747337896,0.0116272016369291,-1.0,0.1499719127237422,0.0,0.0,
